gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	0.34884104	0.17407389	0.17479564	0.4356035
Tctn2	2.9872265	3.1097782000000005	3.0639446	3.2077517999999996
Afap1l1	0.42523202	0.8148663	0.9266721	0.7739469
Ccnf	1.1378613000000002	1.3272462	1.3869284	1.3207777
Hist1h2bb	1.4810128	1.6775429	2.003955	1.9835451000000002
Scn9a	0.17597711	0.19767389	0.25244975	-0.6254286
Rac2	0.9496611999999999	1.0014533	1.1342785	1.135249
Cdkn1a	3.4298093	3.6139068999999995	3.032717	2.6534998
Rab33a	1.5935947	1.8380008999999997	2.1055076	1.7958604999999999
4933408B17Rik	1.8926417000000002	2.0255919	2.2908254	2.3837445
Zdhhc20	3.4481214999999996	3.639298	3.5007284	3.4079187000000006
Magix	0.39416414	0.85510343	0.85031134	0.7674171
Rbm43	3.2090855	3.1518327999999998	3.1633868	3.2041228
1700047M11Rik	-1.2736198	0.7013058000000001	0.51195097	0.5200670999999999
Blvra	3.2310321	3.3732486000000006	3.5524826000000003	3.4253339999999994
Pisd	2.9563912999999995	3.063768	3.1170313	3.2010977
Clip4	3.3495237999999996	3.418283	3.3670807000000003	3.4011772000000002
Abat	3.311011	3.2912904999999997	3.4569745000000003	3.4832349999999996
Camk1d	2.4731941	2.4241145	2.6396217	2.841923
Ceacam1	0.5343618	0.50617397	0.81405985	0.59828115
Syngr1	0.76086974	0.69813967	0.81081486	0.9767943000000001
Mbtps2	3.1107538	3.0470743	3.084152	3.2455043999999997
Gna14	1.6908490000000003	1.8926744	2.0761404	2.028499
Cox6a1	3.8475775999999997	3.8405197	3.8691942999999998	3.873497
Eif3j2	2.6864715	2.6502745	2.9013932000000002	2.8327677
Mrps16	3.6695902	3.6201693999999995	3.603672	3.6552522000000005
Chchd4	3.2233104999999997	3.2152193	3.389785	3.3287127
Tcaf1	3.6063807	3.7089052000000002	3.6073253	3.5534112
Gm12031	0.808218	1.0094991	0.78026485	1.0745935
Pfdn1	3.6735407999999996	3.7996413999999996	3.8200352	3.7605822
Zfp622	3.3280582	3.318202	3.4596894	3.5523697999999997
Frs3	2.3291929	2.3940425	2.6795626	2.5913906000000004
Runx1	2.4788673	2.6614282000000005	2.8107884	2.8197900000000002
Prox2os	1.272303	1.2164356	1.354657	1.4756556
Ago4	2.8697476	2.8574452	3.037481	3.0528880000000003
A830008E24Rik	0.3521778	0.38949353	0.068329036	0.39148772
Gpatch2l	3.124193	3.0422819	3.3094672999999997	3.3117082000000004
Tatdn3	3.0897312	3.1275880000000003	3.2003434	3.2018897999999996
Polr2m	3.6301663	3.7112087999999996	3.7908452000000006	3.7022355000000005
Pik3ap1	0.23476356	0.49490026	0.42338496	0.5473738
Gm46123	0.28285859999999996	0.06553356	0.37477076	0.30048648
Adrb3	0.52338016	0.78857124	0.8070004	0.88124835
Tram1l1	1.5824696000000003	1.8560671000000002	2.0194888	2.0515835
Extl1	1.0173521	1.3822402	1.196097	1.6133041000000001
Plppr3	0.48138508	0.6368374	0.7914523	0.85307395
Klf6	3.2412028	3.8708475	3.8106867999999996	3.8856878
Gm16685	-0.2925623	0.19643283	0.25674415	0.25737777
4930444A19Rik	0.17380372	-0.23277673	0.24869134	0.25765795
Bckdha	3.2909307	3.4124196	3.645315	3.5295742
Tmsb15b2	3.0193827	3.0183365	3.1902194	3.1708422
Nrn1	2.3010185	2.3389692	2.6405542	2.6670527
Gjd4	-0.11540995	0.33988354	0.47466272	0.64637244
Atg9a	3.170561	3.2424412	3.4837399	3.3830733
Bhlhe41	1.5572562	1.8354176	2.7668647999999996	3.2223642000000003
Lpl	3.4142876	2.1083841	2.6560574	3.4884424
Gm46430	2.875999	2.860532	3.0564027	3.049582
Khdc4	3.2480216	3.1647220000000003	3.4790967000000004	3.4137269999999997
Gm26632	3.3958845	2.9926312000000004	3.5815900000000003	3.5377696000000003
Alms1	3.1191419999999996	3.1247625	3.1100736	3.2500165
Rrp36	3.250203	3.3411794	3.2734776	3.2068157000000004
Plrg1	3.1452765	3.2405812999999997	3.3701614999999996	3.3672652000000003
Fbxo27	2.5187093999999997	2.603817	2.8364825000000002	2.7557948
Samd1	3.136574	2.929338	3.331379	3.2846157999999996
Rnf149	2.9584384	3.0834296	3.182976	3.2174609
Ache	1.7253553	1.8188705000000003	1.9312506	1.9325756
Rbp4	3.7954557	3.5484636	3.8828422999999996	3.8559099999999997
Gm33195	0.5404352	0.43427846	0.8129659	0.8831104
Man2a1	3.5214522000000006	3.1171465	3.5192080000000003	3.6024672999999994
Pip4p1	3.3745472000000003	3.2622674	3.6162870000000003	3.2783642
C330018D20Rik	2.7269194	2.775715	2.9790306	2.9064527
Gm44956	0.04739554	0.5201617999999999	0.84546846	0.7053738
Ube2w	3.2803288	3.4297242	3.4815254	3.5329876000000002
Anks1b	0.9672622999999999	0.9125052	0.9668853000000001	1.238297
Dock4	2.7516797000000004	2.8830361	3.0280867000000002	2.900315
Rln1	0.28519782	0.31355965	0.37517467	-0.24106781
Kcnc2	0.54604423	0.82715714	0.72567385	0.89623123
Zfp623	2.7228115	2.727437	2.9187782	2.9437456
Stub1	3.706351	3.7917757000000005	3.8079937000000004	3.6560773999999996
Rprd1b	3.3631485	3.4040345999999997	3.4744916	3.5382943
