gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	-0.16242984	0.27018002	0.48733822	-0.31321248
Tctn2	2.9086733	3.1554122000000002	2.9816275	3.1822972000000003
Afap1l1	0.6827887	0.66114086	0.3347648	0.40185246
Ccnf	1.1208958999999998	1.2755836999999999	1.4937106000000002	0.70233315
Hist1h2bb	1.7338198	1.5867262	1.6156402	1.8379111000000001
Scn9a	-0.043447457	-0.049937308	-0.076466344	0.37482074
Rac2	0.6262446	0.24798268	1.5541016	0.07216938
Cdkn1a	3.8413413	3.8400269999999996	2.6957262	2.0529628
Rab33a	2.2179942	2.040655	1.7006961	0.9930341999999999
4933408B17Rik	2.1290872000000003	1.983241	2.0769694	2.1747122
Zdhhc20	3.4107323	3.7742197999999996	3.4465292	3.2959101000000004
Magix	0.8022379	0.49695653	0.6394824	0.24920073
Rbm43	3.3532330000000004	3.1260442999999998	3.0808747000000003	3.1029732000000005
1700047M11Rik	0.32151294	0.31952506	-0.62979573	-0.68125784
Blvra	3.1246959999999997	3.3463864	3.5950422	3.4060872000000004
Pisd	2.8605206	3.072835	3.0510335	3.1929657000000002
Clip4	3.3455586000000004	3.4294269999999996	3.2912742999999995	3.3557549
Abat	3.244989	3.238207	3.4549830000000004	3.4646790000000003
Camk1d	2.7409334	1.9694424	2.2967339	3.006694
Ceacam1	0.61786664	-0.6667757	0.44096622	0.86478794
Syngr1	0.631704	-0.37942111	0.98357266	0.63957596
Mbtps2	3.2010887	2.9563339	2.9696233	3.2397516
Gna14	1.6680017	1.5586095	1.6864012	2.2143574
Cox6a1	3.8130623999999997	3.8942075	3.875882	3.854868
Eif3j2	2.5530303	2.9233973	2.7953932	2.6346912000000002
Mrps16	3.7126317	3.626614	3.5809059999999997	3.6096025000000003
Chchd4	3.1888967	3.1357667	3.4088488	3.2875089999999996
Tcaf1	3.6495857000000003	3.7606924	3.5363684	3.4918718
Gm12031	0.7123451999999999	0.26036108	1.2667204	0.4008235
Pfdn1	3.6181056000000003	3.8598077000000006	3.864593	3.7167830000000004
Zfp622	3.267994	3.2528563	3.4389953999999996	3.5769176
Frs3	2.3718486	2.5111325	2.5914813999999997	2.3056412
Runx1	2.5696144	2.5313918999999996	2.743559	2.7249324
Prox2os	1.4689803	1.4306271000000002	0.49950457	1.2256943
Ago4	3.1571662	2.675005	2.9332113	2.9390411
A830008E24Rik	-0.15350664	-0.19915822	0.57372004	0.10778344
Gpatch2l	3.0943587000000004	2.8938610000000002	3.3418262000000003	3.305929
Tatdn3	3.0801568	3.1230166	3.1585283	3.1261709
Polr2m	3.6083760000000002	3.6771555	3.8367484	3.6794627
Pik3ap1	0.43764734	-0.44715458	0.3657757	0.38590599999999997
Gm46123	-0.09831895	0.47890186	-0.18008369	0.37405920000000004
Adrb3	-0.7672628	0.64189947	0.7875886	0.9342988999999999
Tram1l1	1.7987499	1.3215946	1.9551653000000002	1.9198093
Extl1	1.1788809999999998	1.3273511	0.25957218	1.6051222
Plppr3	0.5603007	-0.23552026	0.7046844	0.6800286999999999
Klf6	2.79881	3.7970800000000002	3.9817633999999997	3.9057150000000003
Gm16685	0.22640333	-0.044828497	-0.07357599599999999	-0.07842656
4930444A19Rik	-0.0418452	0.29278618	-0.0768784	-0.07630533
Bckdha	3.199423	3.3562415	3.6964010000000003	3.5122685
Tmsb15b2	2.9517434	2.926848	3.2321155	3.1073215
Nrn1	2.263762	2.4191437000000002	2.5283523	2.4383981
Gjd4	0.50852925	0.13794510000000001	-0.006995406	0.038986776
Atg9a	3.0537436000000002	3.1661692	3.5361667000000003	3.3631472999999996
Bhlhe41	0.058847137	-1.5430815	3.5633529999999998	3.0622873
Lpl	3.7109629999999996	1.2100071000000001	2.1296551	3.840528
Gm46430	3.0190662999999995	2.7408087	2.9931579	2.9611297000000003
Khdc4	3.1925912	3.048959	3.5553614999999996	3.37894
Gm26632	3.4628859	2.6767194	3.6369792999999997	3.5746636
Alms1	3.177501	3.04209	3.0003848	3.264256
Rrp36	3.2618275000000003	3.4280396	3.2185652	3.1065118
Plrg1	3.0725927000000004	3.1883795	3.339003	3.3766468
Fbxo27	2.6155775	2.654693	2.7460196	2.5626707000000004
Samd1	3.182138	2.6547867999999997	3.3350236000000004	3.2958224
Rnf149	2.8507195	3.0957343999999996	3.130244	3.2112856
Ache	1.6598291	1.6677822	1.3968188999999998	2.1268198
Rbp4	3.922485	3.2770593	3.8732385999999996	3.931168
Gm33195	0.67188066	0.6312597	0.23892447	0.26365316
Man2a1	3.5700634	2.8582397	3.5028582000000004	3.6584373
Pip4p1	3.3321428	3.1768074	3.7271593000000003	3.1726046
C330018D20Rik	2.6746306	2.8438063	2.947225	2.7707328999999996
Gm44956	0.7258956	-0.6817398	0.42338926	0.45449987
Ube2w	3.1997497000000004	3.3942959999999998	3.485318	3.5489434999999996
Anks1b	0.5126575	0.20386061	1.2639803	1.0741502
Dock4	2.4954731	3.0452707	3.068865	2.7392206000000003
Rln1	-0.09185741	-0.12564619999999999	-0.18053418	0.38477927
Kcnc2	0.43684292	0.7113385999999999	0.8999956	-0.35012507
Zfp623	2.574945	2.8742827999999996	2.8231874	2.874307
Stub1	3.6676645	3.8911373999999994	3.8412050000000004	3.5650144
Rprd1b	3.3111994	3.3499794	3.4658773000000003	3.5351288
Rassf4	2.9004817000000003	3.060106	3.312808	2.9429457
Bcas1	0.91348135	1.2754347	1.5406194	1.0291716
Gsg1l2	-0.039575554	-0.04535367	-0.06914005	0.39663368
Cox6a2	0.38632175	-0.19574545	0.32494995	0.31626683
Odr4	3.5758300000000003	3.48792	3.6359262	3.5071733
Adcy6	3.259505	3.2859523	3.611101	3.4436910000000003
Akr1b10	3.2312092999999997	3.2697225	2.7991672000000003	3.1418889
Gm38563	0.5074896	0.8714869000000001	0.33604429999999996	0.3762885
1810026B05Rik	3.1209466	3.3743212	3.7931782999999997	3.704504
Vav3	3.137363	3.1261485	2.8544831000000004	3.2949599999999997
Mcee	3.5380735	3.4846212999999997	3.5805426	3.6337342000000006
Inpp5k	3.2149267000000004	3.415514	3.415662	3.1695387000000004
4930467E23Rik	-0.09945526	0.21011828	-0.17817952	0.46574378
Tchh	0.33647704	-0.043193515	-0.07068866	-0.08036007
Gm8206	-0.092829406	0.4997518	-0.18080343	-0.19724639
Poglut3	3.6253605	3.3753216	3.5103648	3.5758195
Slc35b2	3.2741346	3.6494760000000004	3.5518527	3.0750843999999997
Mrps10	3.3147004	3.5051928	3.187549	3.0803978
Coq4	3.1156563999999998	3.0121965	3.209482	3.1394450000000003
Bmp8a	0.24092788	0.64488924	1.0237646999999999	0.1690265
Shc2	2.208226	2.0378895	2.0604103	2.1862178
Dedd	3.078137	3.1801357000000006	3.4129207000000004	3.2587387999999997
Gm33609	-0.041238047	-0.04722629	0.19449261	-0.07351833
Mindy3	3.2017374	3.1151459999999997	3.5417247000000005	3.7287550000000005
Ttc39a	0.9447295	1.6531858	0.42358450000000003	1.1246711
Peak1os	0.367185	-0.36949164	0.6970201	-0.563337
Sh2b1	3.1832762000000003	3.163741	3.3624637	3.35189
4831440D22Rik	1.0031468000000001	1.110371	1.7335528000000002	1.2384254
Gm19582	0.43938375	-0.12212835	-0.17749493	0.25904262
Arfip2	3.2819748	3.2628407000000004	3.4467604	3.4281513999999995
Gm30082	1.321996	1.4870876	1.7015005	1.5116093000000002
Coch	1.9588472	1.4649658	1.8171990000000002	1.710309
Tpo	0.8005696999999999	0.5683469	1.0926707	0.041011907
Omd	2.9495027	1.962534	3.7145197	3.7723105
Smg8	2.7369535	2.9912074	3.2874748999999994	3.0992658
Zc3hc1	3.2186742	3.3067997000000005	3.1588092	3.128187
Hmces	3.0059452	3.2884754999999997	3.1757097	3.0583415
Zc3h10	2.8757498	3.0814692999999997	3.2433949	3.2178174999999998
Tcea3	3.8177202000000006	3.7917497000000004	3.239657	3.6018739
Heatr1	2.9131632	2.9100224999999997	3.4097612	3.1891034
Agpat1	3.2784313999999997	2.8738040000000002	3.3282082	3.3201272000000004
Cdt1	1.5767763000000001	1.7754046	2.0044494	2.2097077
Txndc16	3.184157	2.9956557999999998	3.0675282000000004	3.610123
Dcdc2a	0.42237879999999994	-0.04512746	-0.07044315	-0.0807153
Meox2	1.967252	1.6438177999999999	1.6641835999999999	1.9528961999999999
Oip5	0.89872915	1.3315053999999997	0.622942	0.91730285
Fsd2	0.28390142	-0.20533173	0.42965952	-0.3167682
Gm35326	-0.090017475	0.38055256	-0.18000974	-0.19645864
Ubp1	3.6188745000000004	3.287262	3.4804595000000003	3.6954589999999996
Osbpl8	3.1064757999999997	3.3901557999999996	3.4787562000000007	3.3823872
Hcrtr1	0.19120477	0.8315378000000001	0.1275904	0.024220292
Derl2	3.3782620000000003	3.3732364	3.4400206	3.6007648000000003
Amhr2	1.3015827	1.3193622999999999	-0.18280357	1.0504917
Klra2	0.26919186	-0.53559685	0.5557709	1.1166207000000001
Gm42696	0.716488	0.0034729675	1.1211073	1.8924698
Sppl2b	3.035683	2.9362476	3.3142076	3.3570807
Gm48689	-0.039653122	0.30957255	-0.071559496	-0.07758973
Tg	1.9004346999999997	1.7336267	2.1012995	1.9687682
Pfn1	3.7665317000000003	3.937014	3.9470065	3.7114718
4933401L05Rik	-0.04307951	-0.049023513	0.3314245	-0.07800886
Disp1	2.59444	2.6793937999999997	2.4068862999999996	3.028043
Nfib	3.8338629999999996	3.9059421999999997	3.8944769999999997	3.8670044000000003
Pyroxd2	1.0247508	0.68592316	1.6894771	1.1664703
Gm5617	3.2383652	3.3634297999999996	3.1441844	3.162795
Mdm1	2.1676607000000003	2.3150716	2.145436	2.3591618999999997
Mfsd14a	3.141911	3.2665706	3.6006384	3.596994
Gm2895	-0.15669209	0.3977408	0.51535714	-0.31935418
Ccdc169	0.29672104	0.52095366	1.3777798	1.8059349999999998
Lpin2	2.9012506	2.84099	3.105748	3.3100605000000005
Ifi204	0.3733047	0.6162196999999999	1.3577781999999998	0.9978412
Pidd1	1.5768721	1.352602	1.4094228000000002	0.74471956
Fut4	1.2767375	1.2208503000000002	1.7018683999999997	0.08699177
Polr2c	3.7164589999999995	3.6558222999999996	3.6235964	3.785069
Sirt5	3.348005	3.2967800000000005	2.9453716	2.697925
Atf7ip2	0.45408693	0.35295509999999997	0.77223855	-0.5584701
Pcdhga10	2.6915658	2.6733387000000004	2.6714664	2.8341289
Bpi	-0.037893664	-0.04774428	-0.072136626	0.28487027
4930595D18Rik	-0.039066593999999996	0.21218614	-0.0734602	-0.07786399
Gm39244	0.13777964	-0.36273062	0.7698299	0.23354653
Gm47076	-0.036994692	-0.049617585	-0.06949411	0.41865557
Hoxb4	3.4119443999999994	3.48147	3.231445	3.1780557999999997
Pla2g4e	1.6355233	1.8564738999999997	1.8836849999999998	1.6826026
Gm16553	0.33983997	-0.053223237	-0.068529874	-0.07992614
Gpt	1.9576348000000001	2.1413849999999996	2.4041097000000002	2.5109138
Gm13920	0.5134906	0.005239074	0.75341505	0.6822133
Ltb4r2	0.5651388	0.35151172	1.2616036	1.3019127000000001
Peg10	2.1618164	2.3134558	2.055228	2.3595152
Iscu	3.8212227999999997	3.8743482000000005	3.8184373	3.6977589999999996
Ctsf	3.6079333	3.5143172999999996	3.3863133999999997	3.6390953
Prrx1	3.7618432	3.2519586	3.8362622	3.8033593
Zswim7	2.4741287	3.0937996	3.3341095000000003	3.1731580000000004
Trpv4	0.44838779999999995	0.9678938	1.4644225	0.8199105999999999
1810058I24Rik	3.7677612000000003	3.8757994	3.6945087999999995	3.486444
Gm14305	2.7205453	2.9242482000000005	3.2627254	3.0247745999999998
Cd5	0.20710610000000002	1.0518425	1.5775713	1.7056296999999998
Phgdh	3.0732532000000004	3.2279153	3.1811689999999997	3.4490638
Mon2	3.2728148	3.3060026	3.6097174	3.6575379999999997
Gm15543	-0.037823595	-0.0514283	-0.07586214	0.14410712
1700003M07Rik	-0.09689226	0.41401598	-0.18542768	-0.19407372
Rad9b	2.220344	2.1816267999999996	2.2645311	2.2098422
Wfdc3	1.3286163	0.58752435	0.6948141	-0.0048856502
Cln6	2.7457572999999997	2.9630513	2.9919486	3.1045349
Rela	2.9973102000000003	3.2954133000000003	3.7675104	3.6126137000000003
Gm38410	0.41288066	-0.12081199999999999	-0.18229423	-0.19260706
Ube3a	3.7071452000000007	3.6599758000000002	3.8441457999999997	3.7356882000000007
Aldh9a1	2.8565145	3.3852629999999997	3.4026935	3.0105145
Gm34866	0.37643790000000005	0.7871609	0.5677833999999999	1.0780051000000002
Cfap300	1.1283419	1.406935	1.8438686999999998	1.6662463
Serpina1b	0.3000958	-0.048227396	-0.06881173	-0.07663175
Slc25a19	3.3152242	3.1639538	3.1448076	3.2997684
Mmp21	-0.09108627	0.33911073	0.29273903	-0.19516227
Zfp992	2.76152	3.1346853	3.005561	3.1513553
Cenps	1.821482	1.3814358999999998	1.6786813000000003	1.909387
3110070M22Rik	2.5636864	2.759707	2.8547703999999996	2.8369584
Erbb4	2.7747387999999997	2.916382	3.3106956	3.2639039
Smarcc2	3.6395513999999998	3.5704365	3.43319	3.5748777
S100a2	0.27981254	0.64616567	1.027622	0.6757463
Them6	2.4448478	2.5965586	2.4862688	2.5145397000000003
Jade3	2.1306212	2.1391056	2.5773146000000002	2.6611862
Naalad2	2.6491265	2.9038382	2.9864333	2.7874355
Psme2	3.4298837	3.8055142999999996	3.7719285000000005	3.3091922
Ccdc149	2.9115756	2.952197	2.8294601000000004	3.2353935000000003
Gm6133	1.7766936999999998	1.8557918000000002	1.9256092	1.9947625
Pmepa1	3.9040171999999997	3.9138217000000006	3.9055313999999997	3.8516781000000004
Enpp3	2.5561416	2.781311	2.6349362999999997	2.6526647
Tbca	3.7075638999999994	3.8514926	3.7144067	3.823743
Ppdpf	3.7027636	3.65265	3.5828775999999998	3.3115315
Ap1s1	3.5213443999999994	3.6941937999999994	3.3622870000000002	3.3216212
Kifc2	2.4817967	2.4658802000000004	2.4319775000000003	2.7592924
5033406O09Rik	0.20372406	-0.19194177	0.5722349	-0.3220151
2410018L13Rik	0.34742162	1.0030668	1.3853283	1.5094281
Vrk2	2.8453455	3.0962627	3.2032716	3.0895228
Incenp	2.6107934	2.6634054	2.7878995	3.0016894
Fjx1	3.211716	2.9267201000000003	3.6618269999999997	3.6353936
Ndufa5	3.7107046	3.7909472	3.9068913	3.8394578
Ehhadh	1.9943043999999999	2.6072425999999997	2.7818165	2.55556
Msr1	0.6414018	-0.37564853	0.31272656	0.57821655
Hist1h3i	-0.06413335	-0.52420425	0.86425924	1.7239746
Pafah1b3	2.284956	2.4695822999999995	2.5714035	2.3910315
Tex2	2.9147615	3.0603607000000004	3.5438197	3.0509903
Rad18	2.4248295	2.4725322999999997	3.0159507000000003	2.6553560000000003
Sell	0.4388218	-0.28646869999999997	-0.42061982	-0.45247838
4930517E14Rik	1.3969607	1.8986841	0.92194295	1.3983048
Fstl4	-0.041709267	-0.055602677	-0.075866885	0.5376005
Tnmd	1.8063846999999997	1.0203847	2.460921	2.1456249
Pwp2	2.7208118	2.8541752999999996	2.917144	2.9168732000000004
Crxos	-0.15805057	-0.20788601	0.24063632	-0.31930107
