gene	log_min	log_max
4930555B11Rik	-19.806348999999997	-16.352472
Tctn2	-13.450241	-9.996363
Afap1l1	-18.602375	-15.148498000000002
Ccnf	-17.321442	-13.867564000000002
Hist1h2bb	-16.092776999999998	-12.638899
Scn9a	-20.90496	-17.451083999999998
Rac2	-17.609123	-14.155246
Cdkn1a	-11.504745	-8.050866000000001
Rab33a	-15.728810999999999	-12.274933
4933408B17Rik	-15.436901	-11.983023
Zdhhc20	-11.590441	-8.136562
Magix	-18.507065	-15.053187
Rbm43	-13.023401	-9.569523
1700047M11Rik	-19.113201	-15.659324
Blvra	-12.248006	-8.794127
Pisd	-13.420592000000001	-9.966714
Clip4	-12.314888999999999	-8.861011
Abat	-12.175079	-8.721200999999999
Camk1d	-14.316034	-10.862156
Ceacam1	-18.707735	-15.253858
Syngr1	-18.265903	-14.812026000000001
Mbtps2	-13.273529000000002	-9.819651
Gna14	-15.861536	-12.407658
Cox6a1	-9.781854	-6.3279757000000005
Eif3j2	-14.142232	-10.688353999999999
Mrps16	-11.21275	-7.758872500000001
Chchd4	-12.755938	-9.302059
Tcaf1	-11.143902	-7.690024
Gm12031	-17.813917	-14.36004
Pfdn1	-10.5485525	-7.0946746
Zfp622	-12.24211	-8.788232
Frs3	-14.706482999999999	-11.2526045
Runx1	-14.352453	-10.898575
Prox2os	-17.03376	-13.579882000000001
Ago4	-13.652907	-10.199029
A830008E24Rik	-19.806348999999997	-16.352472
Gpatch2l	-13.059937	-9.606058
Tatdn3	-13.285237	-9.831358999999999
Polr2m	-10.785838	-7.3319600000000005
Pik3ap1	-19.113201	-15.659324
Gm46123	-20.211813	-16.757935999999997
Adrb3	-18.420053	-14.966176
Tram1l1	-15.935148000000002	-12.48127
Extl1	-16.93467	-13.480791
Plppr3	-18.420053	-14.966176
Klf6	-9.616017	-6.1621394
Gm16685	-20.90496	-17.451083999999998
4930444A19Rik	-20.90496	-17.451083999999998
Bckdha	-11.895759	-8.441880000000001
Tmsb15b2	-13.385269000000001	-9.931391
Nrn1	-14.855227	-11.401349
Gjd4	-19.295523	-15.841645000000002
Atg9a	-12.542552	-9.088674000000001
Bhlhe41	-12.160314	-8.706435
Lpl	-12.321419	-8.86754
Gm46430	-13.685319	-10.231441
Khdc4	-12.486263000000001	-9.032385000000001
Gm26632	-12.199962	-8.746083
Alms1	-13.205572	-9.751694
Rrp36	-12.805711	-9.351832
Plrg1	-12.711285	-9.257406
Fbxo27	-14.348182999999999	-10.894304
Samd1	-13.106849	-9.65297
Rnf149	-13.448506	-9.994628
Ache	-16.045149	-12.59127
Rbp4	-9.528830000000001	-6.0749515999999995
Gm33195	-18.507065	-15.053187
Man2a1	-11.783669999999999	-8.329792
Pip4p1	-12.198967999999999	-8.74509
C330018D20Rik	-14.073007999999998	-10.619129
Gm44956	-18.707735	-15.253858
Ube2w	-12.00414	-8.550261500000001
Anks1b	-17.686085000000002	-14.232207
Dock4	-13.845344	-10.391465
