gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
HNF4A (mouse),6.857142857142857,1.7142857142857142,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0
CREM (human),1.5,1.5,4.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
FOXF2 (human),0.0,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,4.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0
LOC135440 (human),0.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
AHR (mouse),0.0,0.0,0.0,0.0,1.3333333333333333,4.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0
NR1H3 (human),0.8,0.8,0.8,0.0,1.6,4.0,0.0,1.6,0.8,0.8,0.8,0.0
REL (human),0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
SPIB (human),1.3333333333333333,4.0,0.0,0.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,0.0
SP1 (human),0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.7142857142857142,3.8571428571428577,3.0,0.42857142857142855,0.8571428571428571,0.0,0.0,0.42857142857142855
LTF (human),0.631578947368421,0.631578947368421,2.526315789473684,0.0,0.631578947368421,3.789473684210526,1.263157894736842,1.263157894736842,0.0,0.0,0.0,1.263157894736842
TFAP2D (human),0.75,0.0,3.75,1.5,1.5,1.5,0.0,1.5,0.75,0.0,0.0,0.75
SNAI1 (human),0.46153846153846156,0.0,1.3846153846153848,0.9230769230769231,3.6923076923076925,1.3846153846153848,1.8461538461538463,1.3846153846153848,0.46153846153846156,0.0,0.46153846153846156,0.0
TCF3 (human),0.46153846153846156,0.0,1.3846153846153848,0.9230769230769231,3.6923076923076925,1.3846153846153848,1.8461538461538463,1.3846153846153848,0.46153846153846156,0.0,0.46153846153846156,0.0
SP3 (human),0.0,0.0,1.3846153846153848,0.46153846153846156,1.3846153846153848,3.6923076923076925,3.230769230769231,0.46153846153846156,0.9230769230769231,0.46153846153846156,0.0,0.0
SNAI2 (human),0.46153846153846156,0.0,1.3846153846153848,0.9230769230769231,3.6923076923076925,1.3846153846153848,1.8461538461538463,1.3846153846153848,0.46153846153846156,0.0,0.46153846153846156,0.0
ZNF148 (human),0.6000000000000001,1.2000000000000002,0.6000000000000001,1.8,2.4000000000000004,3.6,0.6000000000000001,1.2000000000000002,0.0,0.0,0.0,0.0
Nkx3-2 (mouse),0.0,0.0,0.0,2.4000000000000004,0.0,3.6,1.2000000000000002,0.0,3.6,0.0,1.2000000000000002,0.0
POU1F1 (human),1.2000000000000002,3.6,0.6000000000000001,1.2000000000000002,0.0,1.8,0.6000000000000001,1.2000000000000002,1.2000000000000002,0.0,0.0,0.6000000000000001
PITX1 (human),0.0,0.0,2.4000000000000004,2.4000000000000004,0.0,1.2000000000000002,1.2000000000000002,0.0,3.6,0.0,1.2000000000000002,0.0
CREB1 (mouse),0.0,1.2000000000000002,0.0,3.6,3.6,0.0,0.0,2.4000000000000004,1.2000000000000002,0.0,0.0,0.0
NR1H2 (human),1.2000000000000002,0.0,1.2000000000000002,1.2000000000000002,1.2000000000000002,3.6,0.0,1.2000000000000002,2.4000000000000004,0.0,0.0,0.0
IRF2 (mouse),0.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,2.11764705882353,0.7058823529411765,0.7058823529411765,1.411764705882353,3.5294117647058827,0.7058823529411765,0.0,0.7058823529411765
PCBP1 (human),0.0,0.5,0.0,1.0,2.0,3.5000000000000004,3.0,0.5,1.0,0.5,0.0,0.0
Nkx2-5 (mouse),0.0,1.7142857142857142,0.0,3.4285714285714284,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0
RXRA (mouse),0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,3.4285714285714284,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0
NKX2-8 (human),0.0,0.0,3.4285714285714284,1.7142857142857142,3.4285714285714284,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0
APEX1 (human),0.8571428571428571,0.8571428571428571,1.7142857142857142,0.8571428571428571,3.4285714285714284,0.8571428571428571,1.7142857142857142,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0
MTF1 (human),0.0,1.1428571428571428,0.0,1.7142857142857142,2.2857142857142856,3.4285714285714284,1.1428571428571428,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
SREBF2 (human),0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,3.3333333333333335,2.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
KLF11 (human),0.0,1.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
MYC (mouse),0.0,0.6666666666666666,0.3333333333333333,1.0,3.3333333333333335,2.3333333333333335,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0
TFAP2C (human),1.090909090909091,0.0,0.0,1.090909090909091,3.2727272727272725,0.5454545454545455,0.5454545454545455,1.6363636363636362,1.090909090909091,0.5454545454545455,1.090909090909091,1.090909090909091
RUNX2 (mouse),0.8,3.2,0.0,0.4,2.0,2.0,1.6,0.8,1.2000000000000002,0.0,0.0,0.0
Sox2 (mouse),0.631578947368421,0.631578947368421,0.631578947368421,2.526315789473684,3.1578947368421053,0.631578947368421,1.894736842105263,1.263157894736842,0.0,0.0,0.0,0.631578947368421
Pax2 (mouse),1.0434782608695652,0.0,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.565217391304348,3.130434782608696,0.5217391304347826,0.0,0.5217391304347826,1.0434782608695652
ZFHX3 (human),0.5217391304347826,3.130434782608696,1.0434782608695652,0.0,1.0434782608695652,2.0869565217391304,2.0869565217391304,0.0,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826
TEAD4 (human),0.0,0.8888888888888888,1.3333333333333333,0.8888888888888888,2.6666666666666665,3.111111111111111,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.0,0.0,0.8888888888888888
SPI1 (human),2.2222222222222223,0.4444444444444444,1.3333333333333333,0.0,1.3333333333333333,0.8888888888888888,3.111111111111111,0.4444444444444444,0.8888888888888888,0.0,0.8888888888888888,0.4444444444444444
RELB (human),1.7777777777777777,1.7777777777777777,0.8888888888888888,0.0,3.111111111111111,0.8888888888888888,0.4444444444444444,0.8888888888888888,1.3333333333333333,0.0,0.8888888888888888,0.0
POU1F1 (mouse),1.1612903225806452,0.7741935483870968,1.1612903225806452,0.7741935483870968,3.096774193548387,0.7741935483870968,0.7741935483870968,1.5483870967741935,0.7741935483870968,0.3870967741935484,0.3870967741935484,0.3870967741935484
KLF4 (human),0.0,1.2000000000000002,1.2000000000000002,1.8,2.4000000000000004,3.0,1.2000000000000002,1.2000000000000002,0.0,0.0,0.0,0.0
MAX (human),0.0,1.2500000000000002,1.5,0.5,1.2500000000000002,3.0,1.7500000000000002,0.75,0.5,0.25,0.5,0.75
RARA (human),0.6000000000000001,0.6000000000000001,1.8,0.6000000000000001,0.6000000000000001,3.0,1.8,1.2000000000000002,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001
USF1 (human),0.6000000000000001,1.2000000000000002,1.5,0.9,1.2000000000000002,3.0,2.4000000000000004,0.9,0.0,0.0,0.30000000000000004,0.0
TP53 (mouse),2.25,0.75,0.0,0.0,1.5,3.0,2.25,0.0,0.75,0.0,1.5,0.0
NR3C1 (human),1.2000000000000002,1.2000000000000002,0.6000000000000001,1.8,0.6000000000000001,0.6000000000000001,3.0,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0
Pdx1 (mouse),0.75,0.75,3.0,1.5,1.5,0.75,2.25,0.0,0.75,0.0,0.0,0.75
RXRA (human),0.75,0.75,1.5,0.375,0.75,3.0,2.25,0.375,1.875,0.0,0.375,0.0
TP63 (human),1.8,0.6000000000000001,1.8,2.4000000000000004,0.0,3.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,0.0
ELF5 (mouse),3.0,1.5,1.5,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
HIF1A (mouse),1.5,2.25,0.75,1.5,0.0,0.75,1.5,0.75,0.0,0.0,0.0,3.0
NR1I2 (human),0.0,0.0,0.75,0.75,2.25,3.0,2.25,2.25,0.75,0.0,0.0,0.0
