gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
ETV4 (human),0.0,1.894736842105263,0.0,5.684210526315789,0.631578947368421,1.894736842105263,1.263157894736842,0.0,0.0,0.0,0.631578947368421,0.0
NR1H2 (human),1.090909090909091,0.0,1.090909090909091,1.090909090909091,5.454545454545455,0.0,0.0,0.0,1.090909090909091,0.0,2.181818181818182,0.0
AHR (mouse),1.2000000000000002,1.2000000000000002,0.0,4.800000000000001,0.0,3.6,0.0,1.2000000000000002,0.0,0.0,0.0,0.0
MYB (human),0.0,3.2,1.6,4.800000000000001,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.0
EGR1 (human),0.0,0.0,1.5,0.0,1.5,1.5,0.0,4.5,0.0,1.5,1.5,0.0
NR2F1 (mouse),1.090909090909091,2.181818181818182,4.363636363636364,0.0,1.090909090909091,2.181818181818182,0.0,1.090909090909091,0.0,0.0,0.0,0.0
RORB (mouse),1.090909090909091,2.181818181818182,4.363636363636364,0.0,1.090909090909091,2.181818181818182,0.0,1.090909090909091,0.0,0.0,0.0,0.0
FOXO3A (mouse),1.090909090909091,1.090909090909091,4.363636363636364,2.181818181818182,1.090909090909091,0.0,0.0,1.090909090909091,0.0,0.0,1.090909090909091,0.0
E2F4 (human),0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
SRY (human),2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
NFATC3 (mouse),0.5714285714285714,1.7142857142857142,1.7142857142857142,4.0,0.5714285714285714,0.0,1.1428571428571428,0.0,1.1428571428571428,0.5714285714285714,0.0,0.5714285714285714
USF1 (mouse),0.0,4.0,1.3333333333333333,2.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.0
ATF2 (human),1.2857142857142858,0.42857142857142855,3.8571428571428577,1.2857142857142858,1.7142857142857142,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.42857142857142855
MYC (human),0.0,3.8400000000000003,0.9600000000000001,2.4000000000000004,1.9200000000000002,0.48000000000000004,1.44,0.0,0.0,0.48000000000000004,0.48000000000000004,0.0
SREBF1 (mouse),0.0,3.789473684210526,0.631578947368421,1.263157894736842,2.526315789473684,1.263157894736842,0.0,1.263157894736842,0.631578947368421,0.0,0.0,0.631578947368421
IRF2 (mouse),0.75,0.75,1.5,3.75,0.75,2.25,0.0,0.0,1.5,0.75,0.0,0.0
HNF4A (human),0.0,0.6666666666666666,2.0,3.666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
