gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
REACTOME_METABOLISM_OF_STEROIDS,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,10.285714285714286,0.0,0.0
REACTOME_METABOLISM_OF_CARBOHYDRATES,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,5.142857142857143,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_NEUTROPHIL_DEGRANULATION,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,5.142857142857143,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0
REACTOME_SIGNALING_BY_WNT,1.5,0.0,0.0,0.0,1.5,1.5,3.0,0.0,0.0,0.0,0.0,4.5
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,4.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,0.0
REACTOME_APOPTOSIS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
REACTOME_MUSCLE_CONTRACTION,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,4.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0
REACTOME_CIRCADIAN_CLOCK,3.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0
REACTOME_ION_CHANNEL_TRANSPORT,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
